consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,39.95346187206451,y,0.042562824906781316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,41.993389897979796,y,0.1159419419709593,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.186870345962234,44.186870345962234,44.186870345962234,44.186870345962234,44.186870345962234,44.186870345962234,44.186870345962234,4.11309404799249,20,5.0,4.095871654921211,,-0.0020833333333333333,-0.42916666666666664,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.0,3.0,3.0,3.0,3.0,53.88228177302517,53.88228177302517,53.88228177302517,53.88228177302517,53.88228177302517,53.88228177302517,53.88228177302517,53.88228177302517,53.88228177302517,55.84308481100015,space,0.127611419884488,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.99552781402599,55.99552781402599,55.99552781402599,55.99552781402599,55.99552781402599,55.99552781402599,55.99552781402599,55.99552781402599,55.99552781402599,57.99297513102647,space,0.13940077705774456,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.167363045038655,58.167363045038655,58.167363045038655,58.167363045038655,58.167363045038655,58.167363045038655,58.167363045038655,58.167363045038655,58.167363045038655,60.16025704506319,space,0.14994734001811594,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.34682389406953,60.34682389406953,60.34682389406953,60.34682389406953,60.34682389406953,60.34682389406953,60.34682389406953,60.34682389406953,60.34682389406953,62.343082817969844,space,0.8486970869125798,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.21593109203968,63.21593109203968,63.21593109203968,63.21593109203968,63.21593109203968,63.21593109203968,63.21593109203968,63.21593109203968,63.21593109203968,65.19340017496143,space,0.6098665728932247,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.82911969197448,65.82911969197448,65.82911969197448,65.82911969197448,65.82911969197448,65.82911969197448,65.82911969197448,65.82911969197448,65.82911969197448,67.82671415805817,space,0.10221031389664859,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.96337235206738,67.96337235206738,67.96337235206738,67.96337235206738,67.96337235206738,67.96337235206738,67.96337235206738,67.96337235206738,67.96337235206738,69.95995316898916,space,0.01786519691813737,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.01026921800803,70.01026921800803,70.01026921800803,70.01026921800803,70.01026921800803,70.01026921800803,70.01026921800803,70.01026921800803,70.01026921800803,71.9934337149607,space,0.0933590749045834,,,,,,,,,,,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,,,,,,58,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18in,images/all_images/18in.jpeg,,,,,,,,,,,,,0,0,0,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.20223428006284,72.20223428006284,72.20223428006284,72.20223428006284,72.20223428006284,81.4261918120319,1.5854166666666667,9.240183358895592,space,0.8244453669758514,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,,,,,,35,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15in,images/all_images/15in.jpeg,,,,,,,,,,,,,0,1,1,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.29347418807447,82.29347418807447,82.29347418807447,82.29347418807447,82.29347418807447,83.45938152098097,1.4541666666666666,1.1526192800374702,space,1.6759070239495486,,,,2023-03-13_19h56.34.205,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.17705811804626,85.17705811804626,85.17705811804626,85.17705811804626,85.17705811804626,86.15955725999083,,,,,,,,,,,,
