consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,item_no,sentence,question,correct_option,granularity,file_name,file_path,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,triangle.started,slider_image.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
"5 of 6
I understand that data collected during the study may be looked at by individuals from The University of Manchester or regulatory authorities, where it is relevant to my taking part in this research. I give permission for these individuals to have access to my data.",,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,45.21649965806864,y,3.3781858370639384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
"6 of 6
I agree to take part in this study.",,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,50.59435437107459,y,6.490814602933824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.168336434988305,59.168336434988305,59.168336434988305,59.168336434988305,59.168336434988305,59.168336434988305,59.168336434988305,4.934048739960417,76,5.0,4.920622797915712,,0.06944444444444445,-0.3902777777777778,1,0,0,continue_box_2,,,,,,,,,,,,,,,,,,,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 1 of 8,This experiment is about using information to make decisions. Each trial will look similar to this:,10.0,10.0,10.0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,4.0,4.0,4.0,4.0,4.0,84.49726324505173,84.49726324505173,84.49726324505173,84.49726324505173,84.49726324505173,84.49726324505173,84.49726324505173,84.49726324505173,84.49726324505173,86.47761337994598,space,1.7420419659465551,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.24625170999207,88.24625170999207,88.24625170999207,88.24625170999207,88.24625170999207,88.24625170999207,88.24625170999207,88.24625170999207,88.24625170999207,90.24480905197561,space,0.4608412610832602,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.73212578007951,90.73212578007951,90.73212578007951,90.73212578007951,90.73212578007951,90.73212578007951,90.73212578007951,90.73212578007951,90.73212578007951,92.72790777892806,space,0.01898210495710373,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.77906476496719,92.77906476496719,92.77906476496719,92.77906476496719,92.77906476496719,92.77906476496719,92.77906476496719,92.77906476496719,92.77906476496719,94.7610354530625,space,0.16938621597364545,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.9628537830431,94.9628537830431,94.9628537830431,94.9628537830431,94.9628537830431,94.9628537830431,94.9628537830431,94.9628537830431,94.9628537830431,96.96099669090472,space,1.0902033550664783,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.0793404309079,98.0793404309079,98.0793404309079,98.0793404309079,98.0793404309079,98.0793404309079,98.0793404309079,98.0793404309079,98.0793404309079,100.07794635300525,space,0.24338849098421633,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.34626680496149,100.34626680496149,100.34626680496149,100.34626680496149,100.34626680496149,100.34626680496149,100.34626680496149,100.34626680496149,100.34626680496149,102.32796226488426,space,25.772517858073115,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.14419753290713,128.14419753290713,128.14419753290713,128.14419753290713,128.14419753290713,128.14419753290713,128.14419753290713,128.14419753290713,128.14419753290713,130.12718549906276,space,8.804008884122595,,,,,,,,,2023-02-06_18h27.20.923,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139.00458810804412,139.00458810804412,139.00458810804412,139.00458810804412,139.00458810804412,,,,,,,,
