consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,Slide 2 of 8,"First, you should read the text above the image.",10.0,0.15,-0.55,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.03971839102451,71.03971839102451,71.03971839102451,71.03971839102451,71.03971839102451,71.03971839102451,71.03971839102451,71.03971839102451,71.03971839102451,73.03723917796742,space,0.1530323310289532,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,Slide 3 of 8,Then you should look at the image. It will show a map of a country. The colour of each region of the country reflects its pollution level. Pollution levels are displayed in standardised units.,10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.22444150503725,73.22444150503725,73.22444150503725,73.22444150503725,73.22444150503725,73.22444150503725,73.22444150503725,73.22444150503725,73.22444150503725,75.22039336094167,space,0.14441947103478014,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,Slide 4 of 8,Data on different types of pollution are shown throughout the experiment. (A colour scale may be provided or not provided to you.),10.0,-0.075,-0.24,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.39033220801502,75.39033220801502,75.39033220801502,75.39033220801502,75.39033220801502,75.39033220801502,75.39033220801502,75.39033220801502,75.39033220801502,77.37039521196857,space,0.057142512989230454,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,Slide 5 of 8,"Then you should read the question below the image. Here, the question asks you to rate how severe the pollution levels in the pointed region is.",10.0,-0.28,-0.53,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.45836015394889,77.45836015394889,77.45836015394889,77.45836015394889,77.45836015394889,77.45836015394889,77.45836015394889,77.45836015394889,77.45836015394889,79.45416649593972,space,1.740774874924682,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,Slide 6 of 8,You should move the marker to indicate your response.,0.0,-0.36,-0.45,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.22278159402777,81.22278159402777,81.22278159402777,81.22278159402777,81.22278159402777,81.22278159402777,81.22278159402777,81.22278159402777,81.22278159402777,83.22045199701097,space,0.9039431740529835,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,Slide 7 of 8,"You can change your answer as many times as you like, then you should press the spacebar to move on to the next trial.",0.1,-0.36,-0.45,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.15777030296158,84.15777030296158,84.15777030296158,84.15777030296158,84.15777030296158,84.15777030296158,84.15777030296158,84.15777030296158,84.15777030296158,86.15404109202791,space,0.3322097089840099,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,Slide 8 of 8,Press the spacebar to begin the experiment.,-0.1,10.0,10.0,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.50589807401411,86.50589807401411,86.50589807401411,86.50589807401411,86.50589807401411,86.50589807401411,86.50589807401411,86.50589807401411,86.50589807401411,88.50402515893802,space,0.36238975496962667,,,,,,,,,,,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,43,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3cs,images/all_images/3cs.jpeg,,,,,,,,,,,,,0,0,0,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.96652278699912,88.96652278699912,88.96652278699912,88.96652278699912,88.96652278699912,91.75374135898892,1.3875,2.797744717099704,space,0.23747882002498955,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,49,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9is,images/all_images/9is.jpeg,,,,,,,,,,,,,0,1,1,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.02845486893784,92.02845486893784,92.02845486893784,92.02845486893784,92.02845486893784,93.02031054301187,1.6520833333333333,0.9735969660105184,space,1.5619129330152646,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,44,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4cn,images/all_images/4cn.jpeg,,,,,,,,,,,,,0,2,2,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.6140424029436,94.6140424029436,94.6140424029436,94.6140424029436,94.6140424029436,95.38702497293707,1.48125,0.7575722639448941,space,0.8965845989296213,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,33,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cn,images/all_images/13cn.jpeg,,,,,,,,,,,,,0,3,3,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.3190605629934,96.3190605629934,96.3190605629934,96.3190605629934,96.3190605629934,96.95348052296322,1.2645833333333334,0.6196697379928082,space,0.8207502319710329,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,41,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1is,images/all_images/1is.jpeg,,,,,,,,,,,,,0,4,4,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.81101372698322,97.81101372698322,97.81101372698322,97.81101372698322,97.81101372698322,98.52031594899017,1.6958333333333333,0.6920343160163611,space,0.6987461600219831,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,36,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16cs,images/all_images/16cs.jpeg,,,,,,,,,,,,,0,5,5,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.24781228997745,99.24781228997745,99.24781228997745,99.24781228997745,99.24781228997745,99.78709796397015,1.4625,0.522930666920729,space,0.0719090299680829,,,,2023-03-13_19h09.55.136,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.9025129940128,99.9025129940128,99.9025129940128,99.9025129940128,99.9025129940128,,,,,,,,,,,,,
