consent_item,slide_text,instruction,triangle_pos,arrow_posy,arrow_posx,item_no,sentence,question,correct_option,granularity,file_name,file_path,info_sheet_loop.thisRepN,info_sheet_loop.thisTrialN,info_sheet_loop.thisN,info_sheet_loop.thisIndex,consent_loop.thisRepN,consent_loop.thisTrialN,consent_loop.thisN,consent_loop.thisIndex,instructions_loop.thisRepN,instructions_loop.thisTrialN,instructions_loop.thisN,instructions_loop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,study_title.started,consent_key.keys,consent_key.rt,ageResp.started,age.started,gender.started,genderResp1.started,genderResp2.started,continue_box_2.started,continue_text_2.started,mouse_3.started,ageResp.text,genderResp1.response,genderResp1.rt,genderResp2.text,mouse_3.x,mouse_3.y,mouse_3.leftButton,mouse_3.midButton,mouse_3.rightButton,mouse_3.clicked_name,edu_slider.response,q1_slider.response,q2_slider.response,q3_slider.response,q4_slider.response,q5_slider.response,slide_number.started,instruction_text.started,spacebar_3.started,instruction_image.started,EXsentence1.started,question_text_2.started,slider_image.started,triangle.started,arrow.started,next_slide_key.started,next_slide_key.keys,next_slide_key.rt,sentence_text.started,image.started,question_text.started,slider.started,spacebar_text.started,spacebar_continue.started,slider.response,slider.rt,spacebar_continue.keys,spacebar_continue.rt,section_text.started,ad_question_text1.started,scales_images.started,add_question_text2.started,next_slide_text.started,spacebar_continue_7.started,scale_slider.response,spacebar_continue_7.keys,spacebar_continue_7.rt,spacebar_continue_3.keys,spacebar_continue_3.rt,textbox.started,continue_box.started,continue_text.started,comment_instructions.started,participant,session,study_id,date,expName,psychopyVersion,frameRate,
,,,,,,21,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cn,images/pointed_maps_images/1cn.jpeg,,,,,,,,,,,,,0,31,31,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.11467322695535,79.11467322695535,79.11467322695535,79.11467322695535,79.11467322695535,79.23979222099297,1.6104166666666666,0.10643019794952124,space,0.011201536981388927,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,62,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cs,images/pointed_maps_images/2cs.jpeg,,,,,,,,,,,,,0,32,32,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.28490597102791,79.28490597102791,79.28490597102791,79.28490597102791,79.28490597102791,79.40654904104304,1.6104166666666666,0.1078517590649426,space,0.018788916990160942,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,37,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17cn,images/pointed_maps_images/17cn.jpeg,,,,,,,,,,,,,0,33,33,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.46602784201968,79.46602784201968,79.46602784201968,79.46602784201968,79.46602784201968,79.55670024000574,1.6104166666666666,0.07532706100028008,space,0.05497781885787845,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,39,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,19in,images/pointed_maps_images/19in.jpeg,,,,,,,,,,,,,0,34,34,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.6501989630051,79.6501989630051,79.6501989630051,79.6501989630051,79.6501989630051,79.73976349004079,1.6104166666666666,0.07363513403106481,space,0.039487723959609866,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,4,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4in,images/pointed_maps_images/4in.jpeg,,,,,,,,,,,,,0,35,35,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.8163706039777,79.8163706039777,79.8163706039777,79.8163706039777,79.8163706039777,79.88975177996326,1.6104166666666666,0.05756243097130209,space,0.06687249103561044,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,70,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10cs,images/pointed_maps_images/10cs.jpeg,,,,,,,,,,,,,0,36,36,69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.98801008495502,79.98801008495502,79.98801008495502,79.98801008495502,79.98801008495502,80.03971822198946,1.6104166666666666,0.042628532042726874,space,0.07282093993853778,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,47,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7cs,images/pointed_maps_images/7cs.jpeg,,,,,,,,,,,,,0,37,37,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.14939175499603,80.14939175499603,80.14939175499603,80.14939175499603,80.14939175499603,80.22286764194723,1.6104166666666666,0.05592771398369223,space,0.0685810869326815,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,64,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,4is,images/pointed_maps_images/4is.jpeg,,,,,,,,,,,,,0,38,38,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.33186487096827,80.33186487096827,80.33186487096827,80.33186487096827,80.33186487096827,80.37291478994302,1.6104166666666666,0.026565982960164547,space,0.10834502894431353,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,67,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7cn,images/pointed_maps_images/7cn.jpeg,,,,,,,,,,,,,0,39,39,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.52106169203762,80.52106169203762,80.52106169203762,80.52106169203762,80.52106169203762,80.70643648796249,1.6104166666666666,0.17276322899851948,space,0.13812115497421473,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,34,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14is,images/pointed_maps_images/14is.jpeg,,,,,,,,,,,,,0,40,40,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.88297636795323,80.88297636795323,80.88297636795323,80.88297636795323,80.88297636795323,81.07262570096646,1.6104166666666666,0.17211451497860253,space,0.13336169288959354,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,46,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6in,images/pointed_maps_images/6in.jpeg,,,,,,,,,,,,,0,41,41,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.23808501602616,81.23808501602616,81.23808501602616,81.23808501602616,81.23808501602616,81.40621505898889,1.6104166666666666,0.1606138659408316,space,0.13697582995519042,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,49,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9is,images/pointed_maps_images/9is.jpeg,,,,,,,,,,,,,0,42,42,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.58045009605121,81.58045009605121,81.58045009605121,81.58045009605121,81.58045009605121,81.75621180899907,1.6104166666666666,0.3253355009946972,space,0.16656456096097827,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,16,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16in,images/pointed_maps_images/16in.jpeg,,,,,,,,,,,,,0,43,43,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.95506146596745,81.95506146596745,81.95506146596745,81.95506146596745,81.95506146596745,82.12264480395243,1.6104166666666666,0.32304722105618566,space,0.17364946892485023,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,61,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1in,images/pointed_maps_images/1in.jpeg,,,,,,,,,,,,,0,44,44,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.33941707201302,82.33941707201302,82.33941707201302,82.33941707201302,82.33941707201302,82.47314555197954,1.6104166666666666,0.12075758003629744,space,0.027654930017888546,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,1,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,1cs,images/pointed_maps_images/1cs.jpeg,,,,,,,,,,,,,0,45,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.53874906594865,82.53874906594865,82.53874906594865,82.53874906594865,82.53874906594865,82.65638181497343,1.6104166666666666,0.10623640497215092,space,0.03509300190489739,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,30,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,10is,images/pointed_maps_images/10is.jpeg,,,,,,,,,,,,,0,46,46,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.73135174799245,82.73135174799245,82.73135174799245,82.73135174799245,82.73135174799245,82.82308829203248,1.6104166666666666,0.07372158102225512,space,0.0406985959270969,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,54,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,14in,images/pointed_maps_images/14in.jpeg,,,,,,,,,,,,,0,47,47,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.90030373900663,82.90030373900663,82.90030373900663,82.90030373900663,82.90030373900663,82.9728878090391,1.6104166666666666,0.05436405399814248,space,0.05421515495982021,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,23,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3in,images/pointed_maps_images/3in.jpeg,,,,,,,,,,,,,0,48,48,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.088435670943,83.088435670943,83.088435670943,83.088435670943,83.088435670943,83.14823617704678,1.6104166666666666,0.05901259696111083,space,0.07844317192211747,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,60,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cn,images/pointed_maps_images/20cn.jpeg,,,,,,,,,,,,,0,49,49,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.26340291404631,83.26340291404631,83.26340291404631,83.26340291404631,83.26340291404631,83.30592104000971,1.6104166666666666,0.028418555040843785,space,0.07260951597709209,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,15,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15is,images/pointed_maps_images/15is.jpeg,,,,,,,,,,,,,0,50,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.4181773030432,83.4181773030432,83.4181773030432,83.4181773030432,83.4181773030432,83.4893926109653,1.6104166666666666,0.05736264807637781,space,0.07514534692745656,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,22,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2is,images/pointed_maps_images/2is.jpeg,,,,,,,,,,,,,0,51,51,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.60150685801636,83.60150685801636,83.60150685801636,83.60150685801636,83.60150685801636,83.67264823801816,1.6104166666666666,0.057364075095392764,space,0.059944453998468816,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,40,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20cs,images/pointed_maps_images/20cs.jpeg,,,,,,,,,,,,,0,52,52,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.76647353696171,83.76647353696171,83.76647353696171,83.76647353696171,83.76647353696171,83.83907750598155,1.6104166666666666,0.058022130047902465,space,0.09416938596405089,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,66,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cs,images/pointed_maps_images/6cs.jpeg,,,,,,,,,,,,,0,53,53,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.96842774294782,83.96842774294782,83.96842774294782,83.96842774294782,83.96842774294782,84.17228830698878,1.6104166666666666,0.3580582899739966,space,0.14532078395131975,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,13,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cs,images/pointed_maps_images/13cs.jpeg,,,,,,,,,,,,,0,54,54,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3521605799906,84.3521605799906,84.3521605799906,84.3521605799906,84.3521605799906,84.48965521797072,1.6104166666666666,0.12348335096612573,space,0.02709436195436865,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,8,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8in,images/pointed_maps_images/8in.jpeg,,,,,,,,,,,,,0,55,55,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.55502096400596,84.55502096400596,84.55502096400596,84.55502096400596,84.55502096400596,84.65641201694962,1.6104166666666666,0.08967859693802893,space,0.04070819297339767,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,48,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cn,images/pointed_maps_images/8cn.jpeg,,,,,,,,,,,,,0,56,56,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.74176077102311,84.74176077102311,84.74176077102311,84.74176077102311,84.74176077102311,84.83972959499806,1.6104166666666666,0.08588323905132711,space,0.05637074797414243,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,53,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13is,images/pointed_maps_images/13is.jpeg,,,,,,,,,,,,,0,57,57,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.93215046299156,84.93215046299156,84.93215046299156,84.93215046299156,84.93215046299156,85.0058389439946,1.6104166666666666,0.05568828294053674,space,0.07815412699710578,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,12,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12in,images/pointed_maps_images/12in.jpeg,,,,,,,,,,,,,0,58,58,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.11708734603599,85.11708734603599,85.11708734603599,85.11708734603599,85.11708734603599,85.189495144994,1.6104166666666666,0.058359720977023244,space,0.07307446701452136,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,36,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,16cs,images/pointed_maps_images/16cs.jpeg,,,,,,,,,,,,,0,59,59,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.30026210902724,85.30026210902724,85.30026210902724,85.30026210902724,85.30026210902724,85.33913574600592,1.6104166666666666,0.029992357944138348,space,0.0913583179935813,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,28,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,8cs,images/pointed_maps_images/8cs.jpeg,,,,,,,,,,,,,0,60,60,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.47112482599914,85.47112482599914,85.47112482599914,85.47112482599914,85.47112482599914,85.50630693300627,1.6104166666666666,0.03246439096983522,space,0.12645047495607287,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,18,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,18cn,images/pointed_maps_images/18cn.jpeg,,,,,,,,,,,,,0,61,61,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.66706522600725,85.66706522600725,85.66706522600725,85.66706522600725,85.66706522600725,85.8561974420445,1.6104166666666666,0.3580947070149705,space,0.1553535539424047,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,3,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,3is,images/pointed_maps_images/3is.jpeg,,,,,,,,,,,,,0,62,62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.04812281997874,86.04812281997874,86.04812281997874,86.04812281997874,86.04812281997874,86.18979779898655,1.6104166666666666,0.12282653502188623,space,0.00375077489297837,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,80,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,20is,images/pointed_maps_images/20is.jpeg,,,,,,,,,,,,,0,63,63,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.2346113199601,86.2346113199601,86.2346113199601,86.2346113199601,86.2346113199601,86.33981226303149,1.6104166666666666,0.0870052829850465,space,0.02732489793561399,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,5,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5cs,images/pointed_maps_images/5cs.jpeg,,,,,,,,,,,,,0,64,64,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.40126479102764,86.40126479102764,86.40126479102764,86.40126479102764,86.40126479102764,86.52293665905017,1.6104166666666666,0.10761188005562872,space,0.03501003095880151,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,75,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15cn,images/pointed_maps_images/15cn.jpeg,,,,,,,,,,,,,0,65,65,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.60006260499358,86.60006260499358,86.60006260499358,86.60006260499358,86.60006260499358,86.70652091794182,1.6104166666666666,0.08991182304453105,space,0.040360638056881726,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,7,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,7is,images/pointed_maps_images/7is.jpeg,,,,,,,,,,,,,0,66,66,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.78938823298085,86.78938823298085,86.78938823298085,86.78938823298085,86.78938823298085,86.88965062994976,1.6104166666666666,0.08922536799218506,space,0.05254456494003534,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,33,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,13cn,images/pointed_maps_images/13cn.jpeg,,,,,,,,,,,,,0,67,67,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.98409770196304,86.98409770196304,86.98409770196304,86.98409770196304,86.98409770196304,87.07288632902782,1.6104166666666666,0.07142612000461668,space,0.05323605192825198,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,2,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,2cn,images/pointed_maps_images/2cn.jpeg,,,,,,,,,,,,,0,68,68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.16462004499044,87.16462004499044,87.16462004499044,87.16462004499044,87.16462004499044,87.23972999502439,1.6104166666666666,0.05861272104084492,space,0.0782967519480735,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,51,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11cs,images/pointed_maps_images/11cs.jpeg,,,,,,,,,,,,,0,69,69,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.35179649095517,87.35179649095517,87.35179649095517,87.35179649095517,87.35179649095517,87.42323919001501,1.6104166666666666,0.058279460994526744,space,0.08724525501020253,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,57,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17is,images/pointed_maps_images/17is.jpeg,,,,,,,,,,,,,0,70,70,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.55090713198297,87.55090713198297,87.55090713198297,87.55090713198297,87.55090713198297,87.58976947900373,1.6104166666666666,0.026638978044502437,space,0.0966235309606418,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,26,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6is,images/pointed_maps_images/6is.jpeg,,,,,,,,,,,,,0,71,71,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.71808262204286,87.71808262204286,87.71808262204286,87.71808262204286,87.71808262204286,87.75663134001661,1.6104166666666666,0.02947941899765283,space,0.10565450391732156,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,52,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,12cn,images/pointed_maps_images/12cn.jpeg,,,,,,,,,,,,,0,72,72,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.89985647902358,87.89985647902358,87.89985647902358,87.89985647902358,87.89985647902358,87.93974816601258,1.6104166666666666,0.027161702048033476,space,0.11491895595099777,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,31,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,11in,images/pointed_maps_images/11in.jpeg,,,,,,,,,,,,,0,73,73,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.08796561497729,88.08796561497729,88.08796561497729,88.08796561497729,88.08796561497729,88.30625030305237,1.6104166666666666,0.35845980199519545,space,0.13706262200139463,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,17,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,17cs,images/pointed_maps_images/17cs.jpeg,,,,,,,,,,,,,0,74,74,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.48018240998499,88.48018240998499,88.48018240998499,88.48018240998499,88.48018240998499,88.6231162979966,1.6104166666666666,0.1251598170492798,space,0.023888970026746392,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,6,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,6cn,images/pointed_maps_images/6cn.jpeg,,,,,,,,,,,,,0,75,75,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.69042491994333,88.69042491994333,88.69042491994333,88.69042491994333,88.69042491994333,88.80653070705011,1.6104166666666666,0.10417163698002696,space,0.03478331200312823,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,45,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,5is,images/pointed_maps_images/5is.jpeg,,,,,,,,,,,,,0,76,76,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.88256510498468,88.88256510498468,88.88256510498468,88.88256510498468,88.88256510498468,89.00632253603544,1.6104166666666666,0.10663898300845176,space,0.028743574977852404,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,69,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9in,images/pointed_maps_images/9in.jpeg,,,,,,,,,,,,,0,77,77,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.06458687304985,89.06458687304985,89.06458687304985,89.06458687304985,89.06458687304985,89.17260678904131,1.6104166666666666,0.09202931600157171,space,0.045397816924378276,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,35,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,15in,images/pointed_maps_images/15in.jpeg,,,,,,,,,,,,,0,78,78,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.25445485301316,89.25445485301316,89.25445485301316,89.25445485301316,89.25445485301316,89.35584454098716,1.6104166666666666,0.30963910301215947,space,0.5968906158814207,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,29,This map shows the levels of a certain type of pollution in this country:,How severe do you think the environmental pollution in this pointed region is?,NA,0,9cn,images/pointed_maps_images/9cn.jpeg,,,,,,,,,,,,,0,79,79,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.98590744205285,89.98590744205285,89.98590744205285,89.98590744205285,89.98590744205285,90.67307745304424,1.4833333333333334,0.6746217320905998,space,0.16912481794133782,,,,,,,,,,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.87925644998904,90.87925644998904,90.87925644998904,90.87925644998904,90.87925644998904,97.43990635999944,1.0,space,21.80795364291407,,,,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['space'],[0.03230659291148186],,,,,,,,2023-03-22_22h41.35.894,BZ,2022.2.4,None,
